Review_ID,Booking_ID,Review_Text,Rating,Created_At
R015,B015,Excellent entertainment! Seamlessly transitioned between genres to keep all demographics happy. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2024-09-03
R016,B016,Good performance and good attitude. Incredibly professional attitude from enquiry through to pack-down. Would appreciate a slightly more varied setlist next time.,4,2024-12-01
R017,B017,"Complete no-show for 40 minutes, then a shambolic performance. Did not honour the agreed performance schedule or break structure. Avoid.",4,2024-08-27
R018,B018,"Perfect in every way. The lighting rig they brought added a whole new dimension to the venue. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-05-23
R019,B019,"Perfect in every way. They interacted warmly with guests of all ages and backgrounds. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-07-05
R020,B020,They were a few minutes late arriving but made up for it with a decent set. Communication was slow before the event and the performance itself was middle-of-the-road.,3,2025-05-04
R021,B021,"Fantastic night! Played three of our requested songs and arranged them beautifully. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-04-08
R022,B022,Very impressed overall. The acoustic set during dinner was the perfect touch of elegance. Communication beforehand was quick and clear. Performance delivered as promised.,4,2025-05-06
R023,B023,Excellent entertainment! Every single technical element was handled with care and expertise. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-07-19
R024,B024,Exceptional talent. Their original material was a real talking point among our guests. They had the whole room on their feet within minutes. Truly memorable.,5,2024-10-12
R025,B025,Very impressed overall. The lighting rig they brought added a whole new dimension to the venue. Communication beforehand was quick and clear. Performance delivered as promised.,4,2024-07-02
R026,B026,Stay away. Had to be asked repeatedly to adjust the volume to an acceptable level. Not a single positive thing to say about the experience.,5,2026-05-10
R027,B027,"Okay performance for the price point. Some songs resonated really well, but others seemed rehearsed rather than felt. Wouldn't rush to rebook but wouldn't discourage others either.",3,2026-03-27
R028,B028,"Average overall. Communication before the event took a while, but they delivered on the day. The talent is clearly there but the energy felt inconsistent throughout the evening.",3,2025-02-08
R029,B029,One star is being generous. Multiple equipment failures that were never properly resolved. Everything that could go wrong did go wrong.,5,2024-07-23
R030,B030,Exceptional talent. They interacted warmly with guests of all ages and backgrounds. They had the whole room on their feet within minutes. Truly memorable.,5,2024-12-15
R031,B031,"Wow. Just wow. Perfectly punctual, impeccably presented, and artistically superb. If I could give six stars I would. Guests are still talking about it.",5,2026-01-29
R032,B032,"The sound quality was absolutely crystal clear all night. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-06-18
R033,B033,"Superb performance from start to finish. Perfectly punctual, impeccably presented, and artistically superb. The guests couldn't stop complimenting the entertainment.",5,2024-06-15
R034,B034,Wow. Just wow. They stayed thirty minutes over schedule — for free — because the crowd demanded it. If I could give six stars I would. Guests are still talking about it.,5,2025-09-11
R035,B035,"They stayed thirty minutes over schedule — for free — because the crowd demanded it. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-04-07
R036,B036,Let down overall. Multiple equipment failures that were never properly resolved. The booking process was fine but the actual performance missed the mark.,2,2026-05-14
R037,B037,Quality was drastically below what the demo videos suggested. We ended up playing a Spotify playlist for our guests. A total waste of money.,1,2025-10-11
R038,B038,What an incredible evening. They stayed thirty minutes over schedule — for free — because the crowd demanded it. The setlist was perfectly curated for our audience. Highly recommended!,5,2025-05-26
R039,B039,Good performance and good attitude. The lighting rig they brought added a whole new dimension to the venue. Would appreciate a slightly more varied setlist next time.,4,2025-07-24
R040,B040,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The sound quality was absolutely crystal clear all night. Cannot recommend highly enough!,5,2025-06-24
R041,B041,Superb performance from start to finish. Their original material was a real talking point among our guests. The guests couldn't stop complimenting the entertainment.,1,2024-08-06
R042,B042,"Very enjoyable night. Perfectly punctual, impeccably presented, and artistically superb. The sound balance could have been slightly better, but the talent speaks for itself.",4,2024-10-14
R043,B043,Really great performance overall. The vocalist has an exceptional range and genuine stage presence. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2025-06-25
R044,B044,"They stayed thirty minutes over schedule — for free — because the crowd demanded it. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-09-28
R045,B045,"Every single technical element was handled with care and expertise. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-05-17
R046,B046,Superb performance from start to finish. Arrived a full hour early and set up without any fuss. The guests couldn't stop complimenting the entertainment.,5,2026-01-18
R047,B047,Great experience. Crowd engagement was phenomenal — they read the room perfectly. They were accommodating with our song requests and the vibe was spot on.,4,2025-11-11
R048,B048,Outstanding! They interacted warmly with guests of all ages and backgrounds. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-05-21
R049,B049,"Perfect in every way. Every single technical element was handled with care and expertise. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-02-22
R050,B050,"Unfortunately a disappointing night. Quality was drastically below what the demo videos suggested. I hope this was an off night for them, but we can't take that risk again.",2,2026-03-05
R051,B051,Excellent entertainment! The lighting rig they brought added a whole new dimension to the venue. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-08-23
R052,B052,"Incredibly professional attitude from enquiry through to pack-down. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-07-16
R053,B053,"Perfect in every way. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-02-24
R054,B054,"Absolutely sensational performance — the crowd was completely blown away from the first song to the last. Perfectly punctual, impeccably presented, and artistically superb. Cannot recommend highly enough!",5,2025-11-15
R055,B055,Best booking decision we ever made. We were blown away by how well they adapted to different audience moods. Professionalism from start to finish. Five stars without hesitation.,5,2024-08-21
R056,B056,Outstanding! Incredibly professional attitude from enquiry through to pack-down. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-08-24
R057,B057,Outstanding! Seamlessly transitioned between genres to keep all demographics happy. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-05-25
R058,B058,"Very enjoyable night. Played three of our requested songs and arranged them beautifully. The sound balance could have been slightly better, but the talent speaks for itself.",4,2025-11-09
R059,B059,Genuinely shocking. Multiple equipment failures that were never properly resolved. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,4,2024-12-03
R060,B060,Good performance and good attitude. Every single technical element was handled with care and expertise. Would appreciate a slightly more varied setlist next time.,4,2026-02-23
R061,B061,Exceptional talent. The lighting rig they brought added a whole new dimension to the venue. They had the whole room on their feet within minutes. Truly memorable.,5,2024-09-23
R062,B062,Superb performance from start to finish. They interacted warmly with guests of all ages and backgrounds. The guests couldn't stop complimenting the entertainment.,5,2025-02-02
R063,B063,Not up to the standard we needed for our event. Multiple equipment failures that were never properly resolved. Guests noticed and commented on it.,2,2025-09-21
R064,B064,Exceptional talent. They stayed thirty minutes over schedule — for free — because the crowd demanded it. They had the whole room on their feet within minutes. Truly memorable.,5,2024-10-26
R065,B065,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The vocalist has an exceptional range and genuine stage presence. Cannot recommend highly enough!,5,2025-09-20
R066,B066,Excellent entertainment! Seamlessly transitioned between genres to keep all demographics happy. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2024-07-30
R067,B067,High-quality entertainment. Their original material was a real talking point among our guests. Everything ran smoothly and the crowd response was fantastic.,4,2024-10-20
R068,B068,"They interacted warmly with guests of all ages and backgrounds. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2025-12-26
R069,B069,Struggled to connect with the audience. Barely interacted with the audience and seemed disengaged. The energy just wasn't there on the night.,2,2025-09-25
R070,B070,Genuinely shocking. Quality was drastically below what the demo videos suggested. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,1,2025-06-25
R071,B071,"Average overall. The setlist skewed older than we requested, which divided the crowd a little. The talent is clearly there but the energy felt inconsistent throughout the evening.",3,2025-07-13
R072,B072,Enjoyed the performance very much. They interacted warmly with guests of all ages and backgrounds. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2024-07-26
R073,B073,Outstanding! The sound quality was absolutely crystal clear all night. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2024-10-10
R074,B074,"Incredibly professional attitude from enquiry through to pack-down. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2026-05-03
R075,B075,"Very enjoyable night. Played three of our requested songs and arranged them beautifully. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-01-27
R076,B076,"Perfect in every way. Their original material was a real talking point among our guests. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-11-24
R077,B077,"Very enjoyable night. The acoustic set during dinner was the perfect touch of elegance. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-01-15
R078,B078,Enjoyed the performance very much. Every single technical element was handled with care and expertise. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2025-01-09
R079,B079,Very impressed overall. Seamlessly transitioned between genres to keep all demographics happy. Communication beforehand was quick and clear. Performance delivered as promised.,4,2024-08-12
R080,B080,Seamlessly transitioned between genres to keep all demographics happy. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2024-07-18
R081,B081,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2025-08-11
R082,B082,"Perfect in every way. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-05-26
R083,B083,"Perfect in every way. Played three of our requested songs and arranged them beautifully. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-08-13
R084,B084,Outstanding! We were blown away by how well they adapted to different audience moods. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-11-26
R085,B085,Enjoyed the performance very much. The vocalist has an exceptional range and genuine stage presence. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2025-08-01
R086,B086,"Perfect in every way. The sound quality was absolutely crystal clear all night. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-11-23
R087,B087,"Fantastic night! Incredibly professional attitude from enquiry through to pack-down. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-06-03
R088,B088,"Perfect in every way. Crowd engagement was phenomenal — they read the room perfectly. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-03-13
R089,B089,What an incredible evening. The sound quality was absolutely crystal clear all night. The setlist was perfectly curated for our audience. Highly recommended!,5,2025-04-28
R090,B090,"Fantastic night! Their original material was a real talking point among our guests. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-06-25
R091,B091,"Okay performance for the price point. Some technical issues in the first half, though they rallied well after the break. Wouldn't rush to rebook but wouldn't discourage others either.",3,2024-07-26
R092,B092,Good performance and good attitude. Their original material was a real talking point among our guests. Would appreciate a slightly more varied setlist next time.,4,2024-12-10
R093,B093,Good performance and good attitude. They interacted warmly with guests of all ages and backgrounds. Would appreciate a slightly more varied setlist next time.,4,2025-01-16
R094,B094,Really great performance overall. The sound quality was absolutely crystal clear all night. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2024-08-25
R095,B095,Excellent entertainment! Incredibly professional attitude from enquiry through to pack-down. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2026-01-30
R096,B096,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The acoustic set during dinner was the perfect touch of elegance. Cannot recommend highly enough!,5,2026-03-11
R097,B097,"Fantastic night! Crowd engagement was phenomenal — they read the room perfectly. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-10-20
R098,B098,Mixed feelings. Started really strongly then seemed to lose the room halfway through. Sound check took longer than expected but the performance itself was reasonable.,3,2025-07-01
R099,B099,Genuinely shocking. The performance lasted only 40 minutes despite booking a two-hour slot. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,5,2025-05-25
R100,B100,"Fantastic night! Arrived a full hour early and set up without any fuss. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-03-05
R101,B101,The vocalist has an exceptional range and genuine stage presence. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2025-09-24
R102,B102,"Very enjoyable night. We were blown away by how well they adapted to different audience moods. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-04-03
R103,B103,High-quality entertainment. Crowd engagement was phenomenal — they read the room perfectly. Everything ran smoothly and the crowd response was fantastic.,4,2024-11-11
R104,B104,"Really great performance overall. Perfectly punctual, impeccably presented, and artistically superb. Minor technical hiccup at the start but they handled it gracefully. Would book again.",4,2025-01-19
R105,B105,Outstanding! The vocalist has an exceptional range and genuine stage presence. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2026-04-13
R106,B106,"Outstanding! Perfectly punctual, impeccably presented, and artistically superb. The energy was infectious and everyone had an incredible time. Will definitely book again.",5,2024-06-13
R107,B107,One star is being generous. Did not honour the agreed performance schedule or break structure. Everything that could go wrong did go wrong.,5,2025-02-22
R108,B108,Really great performance overall. The vocalist has an exceptional range and genuine stage presence. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2025-06-07
R109,B109,Their original material was a real talking point among our guests. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2026-05-18
R110,B110,Exceptional talent. The acoustic set during dinner was the perfect touch of elegance. They had the whole room on their feet within minutes. Truly memorable.,5,2025-03-20
R111,B111,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2026-03-25
R112,B112,Good performance and good attitude. Every single technical element was handled with care and expertise. Would appreciate a slightly more varied setlist next time.,4,2024-12-03
R113,B113,Outstanding! Every single technical element was handled with care and expertise. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2026-02-07
R114,B114,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The lighting rig they brought added a whole new dimension to the venue. Cannot recommend highly enough!,5,2026-05-13
R115,B115,Exceptional talent. Every single technical element was handled with care and expertise. They had the whole room on their feet within minutes. Truly memorable.,5,2025-12-31
R116,B116,"Complete no-show for 40 minutes, then a shambolic performance. Quality was drastically below what the demo videos suggested. Avoid.",4,2024-07-04
R117,B117,"The vocalist has an exceptional range and genuine stage presence. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-10-19
R118,B118,"The lighting rig they brought added a whole new dimension to the venue. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2025-01-13
R119,B119,"Fairly good but room for improvement. Some songs resonated really well, but others seemed rehearsed rather than felt. Worth trying if the budget is tight, but there are better options.",3,2025-10-19
R120,B120,One star is being generous. Sound quality was poor throughout — muffled and unbalanced. Everything that could go wrong did go wrong.,5,2025-07-26
R121,B121,"Some guests enjoyed it, others were less enthused. A solid performance, though it felt like they were playing it safe creatively. Largely delivered what was advertised, I suppose.",3,2026-05-16
R122,B122,What an incredible evening. Crowd engagement was phenomenal — they read the room perfectly. The setlist was perfectly curated for our audience. Highly recommended!,5,2026-03-21
R123,B123,Disappointing experience unfortunately. Attitude was rude and dismissive when guests made requests. We expected much better based on the profile.,2,2024-11-11
R124,B124,"Perfect in every way. The acoustic set during dinner was the perfect touch of elegance. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-08-14
R125,B125,Worst booking I have ever made. The performance lasted only 40 minutes despite booking a two-hour slot. The 'performance' was embarrassing for everyone.,5,2024-08-13
R126,B126,Barely interacted with the audience and seemed disengaged. We ended up playing a Spotify playlist for our guests. A total waste of money.,1,2026-01-22
R127,B127,Best booking decision we ever made. Crowd engagement was phenomenal — they read the room perfectly. Professionalism from start to finish. Five stars without hesitation.,5,2025-12-03
R128,B128,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. We were blown away by how well they adapted to different audience moods. Cannot recommend highly enough!,5,2025-04-29
R129,B129,"Perfect in every way. Seamlessly transitioned between genres to keep all demographics happy. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-02-01
R130,B130,Best booking decision we ever made. Their original material was a real talking point among our guests. Professionalism from start to finish. Five stars without hesitation.,5,2026-01-31
R131,B131,"Perfect in every way. We were blown away by how well they adapted to different audience moods. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-10-20
R132,B132,Wow. Just wow. Incredibly professional attitude from enquiry through to pack-down. If I could give six stars I would. Guests are still talking about it.,5,2026-04-19
R133,B133,"Very enjoyable night. Arrived a full hour early and set up without any fuss. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-03-11
R134,B134,Let down overall. Had to be asked repeatedly to adjust the volume to an acceptable level. The booking process was fine but the actual performance missed the mark.,2,2026-02-16
R135,B135,Very impressed overall. The acoustic set during dinner was the perfect touch of elegance. Communication beforehand was quick and clear. Performance delivered as promised.,4,2026-05-22
R136,B136,Exceptional talent. Seamlessly transitioned between genres to keep all demographics happy. They had the whole room on their feet within minutes. Truly memorable.,5,2025-01-02
R137,B137,Outstanding! Arrived a full hour early and set up without any fuss. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2024-12-08
R138,B138,Wow. Just wow. Arrived a full hour early and set up without any fuss. If I could give six stars I would. Guests are still talking about it.,5,2024-09-12
R139,B139,Best booking decision we ever made. The acoustic set during dinner was the perfect touch of elegance. Professionalism from start to finish. Five stars without hesitation.,5,2025-06-14
R140,B140,Outstanding! Every single technical element was handled with care and expertise. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-02-17
R141,B141,Great experience. They stayed thirty minutes over schedule — for free — because the crowd demanded it. They were accommodating with our song requests and the vibe was spot on.,4,2024-12-20
R142,B142,Really great performance overall. The acoustic set during dinner was the perfect touch of elegance. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2024-11-30
R143,B143,"Superb performance from start to finish. Perfectly punctual, impeccably presented, and artistically superb. The guests couldn't stop complimenting the entertainment.",5,2025-07-01
R144,B144,"Fantastic night! The sound quality was absolutely crystal clear all night. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2024-09-26
R145,B145,Excellent entertainment! Arrived a full hour early and set up without any fuss. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-03-03
R146,B146,"The acoustic set during dinner was the perfect touch of elegance. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-08-02
R147,B147,"Okay performance for the price point. Some technical issues in the first half, though they rallied well after the break. Wouldn't rush to rebook but wouldn't discourage others either.",3,2025-10-26
R148,B148,Arrived a full hour early and set up without any fuss. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2025-07-04
R149,B149,Mixed feelings. Started really strongly then seemed to lose the room halfway through. They were a few minutes late arriving but made up for it with a decent set.,3,2026-02-23
R150,B150,Enjoyed the performance very much. Every single technical element was handled with care and expertise. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2025-10-12
R151,B151,"They interacted warmly with guests of all ages and backgrounds. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-02-15
R152,B152,"Enjoyed the performance very much. Perfectly punctual, impeccably presented, and artistically superb. Would rate 5 stars if setup time had been shorter. Still highly recommended.",4,2025-11-10
R153,B153,"Perfectly punctual, impeccably presented, and artistically superb. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2026-04-30
R154,B154,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. Arrived a full hour early and set up without any fuss. Cannot recommend highly enough!,5,2024-11-19
R155,B155,"Complete no-show for 40 minutes, then a shambolic performance. Had to be asked repeatedly to adjust the volume to an acceptable level. Avoid.",1,2026-03-29
R156,B156,Regret this booking. Attitude was rude and dismissive when guests made requests. Have had far better experiences with other performers at similar price points.,2,2025-04-19
R157,B157,Worst booking I have ever made. Sound quality was poor throughout — muffled and unbalanced. The 'performance' was embarrassing for everyone.,1,2025-04-29
R158,B158,Exceptional talent. Arrived a full hour early and set up without any fuss. They had the whole room on their feet within minutes. Truly memorable.,5,2024-09-18
R159,B159,"Okay performance for the price point. A solid performance, though it felt like they were playing it safe creatively. Wouldn't rush to rebook but wouldn't discourage others either.",3,2024-07-09
R160,B160,"The lighting rig they brought added a whole new dimension to the venue. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-09-30
R161,B161,Wow. Just wow. Their original material was a real talking point among our guests. If I could give six stars I would. Guests are still talking about it.,5,2026-02-03
R162,B162,Really great performance overall. Played three of our requested songs and arranged them beautifully. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2024-09-13
R163,B163,What an incredible evening. Their original material was a real talking point among our guests. The setlist was perfectly curated for our audience. Highly recommended!,5,2025-05-18
R164,B164,"Not bad, not great. Good talent but the pacing felt uneven — big peaks and then lulls. If they tightened up the transitions between songs it would make a big difference.",3,2026-02-13
R165,B165,Very impressed overall. They interacted warmly with guests of all ages and backgrounds. Communication beforehand was quick and clear. Performance delivered as promised.,4,2025-07-25
R166,B166,Good performance and good attitude. Crowd engagement was phenomenal — they read the room perfectly. Would appreciate a slightly more varied setlist next time.,4,2026-01-31
R167,B167,Stay away. Quality was drastically below what the demo videos suggested. Not a single positive thing to say about the experience.,5,2026-05-30
R168,B168,Wow. Just wow. Seamlessly transitioned between genres to keep all demographics happy. If I could give six stars I would. Guests are still talking about it.,5,2025-09-09
R169,B169,"Very enjoyable night. The sound quality was absolutely crystal clear all night. The sound balance could have been slightly better, but the talent speaks for itself.",4,2025-03-27
R170,B170,Stay away. Attitude was rude and dismissive when guests made requests. Not a single positive thing to say about the experience.,5,2024-10-10
R171,B171,"The lighting rig they brought added a whole new dimension to the venue. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-12-11
R172,B172,Very impressed overall. They interacted warmly with guests of all ages and backgrounds. Communication beforehand was quick and clear. Performance delivered as promised.,4,2025-09-21
R173,B173,What an incredible evening. Every single technical element was handled with care and expertise. The setlist was perfectly curated for our audience. Highly recommended!,5,2025-04-02
R174,B174,Best booking decision we ever made. They interacted warmly with guests of all ages and backgrounds. Professionalism from start to finish. Five stars without hesitation.,5,2024-10-01
R175,B175,Wow. Just wow. We were blown away by how well they adapted to different audience moods. If I could give six stars I would. Guests are still talking about it.,5,2024-08-26
R176,B176,Terrible experience. Ignored our pre-agreed setlist and played entirely different material. Asked for a refund and will be leaving reviews everywhere.,1,2025-07-17
R177,B177,One star is being generous. Multiple equipment failures that were never properly resolved. Everything that could go wrong did go wrong.,4,2026-05-21
R178,B178,"Communication before the event took a while, but they delivered on the day. Communication was slow before the event and the performance itself was middle-of-the-road.",3,2024-10-25
R179,B179,They stayed thirty minutes over schedule — for free — because the crowd demanded it. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2025-08-28
R180,B180,The performance lasted only 40 minutes despite booking a two-hour slot. Arrived late and the performance was below par. Wouldn't recommend for a formal event.,2,2025-12-03
R181,B181,"The acoustic set during dinner was the perfect touch of elegance. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2025-09-22
R182,B182,"Fantastic night! Arrived a full hour early and set up without any fuss. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2024-12-15
R183,B183,"Not bad, not great. Some songs resonated really well, but others seemed rehearsed rather than felt. If they tightened up the transitions between songs it would make a big difference.",3,2026-01-30
R184,B184,"Very impressed overall. Perfectly punctual, impeccably presented, and artistically superb. Communication beforehand was quick and clear. Performance delivered as promised.",4,2026-01-11
R185,B185,Exceptional talent. Every single technical element was handled with care and expertise. They had the whole room on their feet within minutes. Truly memorable.,5,2025-10-06
R186,B186,"Mixed feelings. Started really strongly then seemed to lose the room halfway through. The setlist skewed older than we requested, which divided the crowd a little.",3,2025-05-22
R187,B187,"Fantastic night! Every single technical element was handled with care and expertise. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-02-22
R188,B188,"The sound quality was absolutely crystal clear all night. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2026-02-06
R189,B189,"Absolutely sensational performance — the crowd was completely blown away from the first song to the last. Perfectly punctual, impeccably presented, and artistically superb. Cannot recommend highly enough!",5,2025-02-15
R190,B190,"Perfect in every way. The sound quality was absolutely crystal clear all night. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-09-27
R191,B191,Crowd engagement was phenomenal — they read the room perfectly. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2024-09-16
R192,B192,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. They interacted warmly with guests of all ages and backgrounds. Cannot recommend highly enough!,5,2024-07-03
R193,B193,"Played three of our requested songs and arranged them beautifully. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2025-12-24
R194,B194,Excellent entertainment! The vocalist has an exceptional range and genuine stage presence. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-11-29
R195,B195,Best booking decision we ever made. Incredibly professional attitude from enquiry through to pack-down. Professionalism from start to finish. Five stars without hesitation.,5,2025-05-27
R196,B196,Exceptional talent. Played three of our requested songs and arranged them beautifully. They had the whole room on their feet within minutes. Truly memorable.,5,2024-11-21
R197,B197,Their original material was a real talking point among our guests. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2026-04-26
R198,B198,Every single technical element was handled with care and expertise. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2025-07-25
R199,B199,Really great performance overall. They interacted warmly with guests of all ages and backgrounds. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2026-05-18
R200,B200,"Good talent but the pacing felt uneven — big peaks and then lulls. Some songs were great, others fell flat. I think a different setlist would have worked better for our audience.",3,2026-01-29
R201,B201,The lighting rig they brought added a whole new dimension to the venue. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2026-05-22
R202,B202,Good performance and good attitude. The sound quality was absolutely crystal clear all night. Would appreciate a slightly more varied setlist next time.,4,2024-11-21
