Booking_ID,Musician_ID,Client_ID,Event_ID,Date_Time,Duration,Price_Charged,Rating
B040,M299,C021,E629,2025-06-15 13:00,2,2050,5
B041,M285,C216,E434,2024-07-29 18:00,3,8480,1
B042,M426,C037,E486,2024-10-07 14:30,3,3210,4
B043,M060,C151,E414,2025-06-23 19:30,1,880,4
B044,M032,C156,E359,2025-09-26 17:00,5,5200,4
B045,M071,C193,E315,2025-05-03 20:30,4,5260,4
B046,M374,C195,E502,2026-01-09 21:30,2,690,5
B047,M367,C196,E366,2025-11-01 19:00,5,9650,4
B048,M323,C249,E162,2025-05-08 21:00,4,12000,5
B049,M163,C024,E095,2025-02-08 20:30,1,840,5
B050,M177,C092,E561,2026-02-25 22:30,4,10360,2
B051,M486,C139,E740,2025-08-18 19:30,4,1850,4
B052,M212,C073,E563,2024-07-09 17:30,2,9420,4
B053,M164,C124,E001,2026-02-14 21:00,6,2900,5
B054,M201,C043,E283,2025-11-13 20:00,3,4120,5
B055,M075,C048,E203,2024-08-11 17:00,2,2420,5
B056,M265,C163,E539,2025-08-19 20:30,2,4040,5
B057,M006,C165,E297,2025-05-20 19:00,3,2780,5
B058,M048,C100,E436,2025-11-04 21:30,2,3940,4
B059,M051,C275,E062,2024-11-29 18:30,3,5580,4
B060,M042,C048,E597,2026-02-18 20:30,5,9620,4
B061,M220,C054,E548,2024-09-14 21:00,5,9100,5
B062,M281,C050,E080,2025-01-24 18:00,1,870,5
B063,M225,C066,E328,2025-09-11 18:30,3,2860,2
B064,M281,C002,E658,2024-10-12 19:00,2,1430,5
B065,M460,C037,E251,2025-09-18 20:30,3,3020,5
B066,M005,C018,E201,2024-07-23 20:00,2,3690,4
B067,M228,C172,E515,2024-10-13 21:00,6,13060,4
B068,M009,C168,E713,2025-12-24 19:30,5,14090,4
B069,M048,C079,E098,2025-09-13 20:00,1,1780,2
B070,M038,C164,E323,2025-06-19 19:00,4,8640,1
B071,M226,C128,E412,2025-07-03 19:30,2,3020,3
B072,M418,C143,E139,2024-07-18 15:30,1,1580,4
B073,M064,C091,E602,2024-09-26 20:00,1,3490,5
B074,M369,C024,E680,2026-04-19 20:30,5,2780,4
B075,M120,C052,E215,2026-01-15 14:00,2,2670,4
B076,M202,C060,E530,2024-11-20 18:30,4,6370,5
B077,M181,C211,E261,2026-01-12 22:30,4,9010,4
B078,M260,C153,E191,2024-12-26 17:00,4,11740,4
B079,M089,C299,E006,2024-08-01 19:30,3,9010,4
B080,M026,C299,E764,2024-07-04 20:30,6,15170,5
B081,M339,C125,E652,2025-07-30 19:00,3,6910,5
B082,M092,C242,E370,2026-05-21 17:00,4,6320,5
B083,M347,C197,E343,2024-08-07 15:00,6,6840,5
B084,M417,C137,E577,2025-11-23 13:30,3,11280,5
B085,M389,C262,E379,2025-07-18 18:30,2,8110,4
B086,M145,C190,E108,2024-11-18 17:00,2,2020,5
B087,M079,C227,E380,2026-05-24 19:30,4,5290,5
B088,M231,C163,E404,2026-03-11 21:30,4,4390,5
B089,M349,C209,E716,2025-04-15 19:00,2,4620,5
B090,M438,C128,E565,2025-06-12 13:00,2,2330,5
B091,M492,C253,E774,2024-07-16 18:30,5,2790,3
B092,M041,C235,E487,2024-12-01 22:00,5,1260,4
B093,M371,C281,E202,2025-01-04 16:00,5,5680,4
B094,M154,C281,E676,2024-08-19 15:00,3,3480,4
B095,M011,C052,E592,2026-01-25 21:00,3,8540,4
B096,M301,C122,E482,2026-03-08 14:00,4,10820,5
B097,M039,C050,E674,2025-10-10 16:00,3,1930,5
B098,M051,C264,E086,2025-06-26 21:30,4,11030,3
B099,M259,C107,E024,2025-05-19 21:00,3,11750,5
B100,M383,C003,E171,2026-02-20 18:30,5,14820,5
B101,M475,C010,E494,2025-09-12 16:30,3,3120,5
B102,M108,C068,E588,2026-03-29 21:00,6,5740,4
B103,M380,C227,E607,2024-10-29 16:00,3,2730,4
B104,M373,C085,E148,2025-01-11 22:30,3,11800,4
B105,M104,C098,E416,2026-04-05 21:30,3,5890,5
B106,M425,C154,E600,2024-06-09 19:00,1,3730,5
B107,M416,C041,E518,2025-02-12 18:30,6,5000,5
B108,M452,C150,E720,2025-06-01 19:30,3,2400,4
B109,M011,C282,E689,2026-05-07 21:30,2,4720,5
B110,M052,C200,E034,2025-03-08 15:00,2,2630,5
B111,M055,C127,E029,2026-03-18 17:00,3,3160,5
B112,M040,C116,E773,2024-11-25 14:00,2,5620,4
B113,M224,C247,E682,2026-01-27 20:00,4,3080,5
B114,M391,C145,E547,2026-04-30 16:30,1,2920,5
B115,M045,C032,E272,2025-12-19 22:00,6,21260,5
B116,M016,C129,E222,2024-07-02 14:30,5,1120,4
B117,M295,C043,E290,2024-10-17 21:30,4,4850,4
B118,M076,C288,E040,2025-01-01 17:30,4,2940,4
B119,M215,C279,E122,2025-10-07 20:30,6,21570,3
B120,M305,C127,E636,2025-07-13 16:30,3,6220,5
B121,M139,C169,E206,2026-05-13 15:30,3,3240,3
B122,M101,C218,E327,2026-03-10 20:30,2,790,5
B123,M254,C052,E099,2024-11-05 21:00,2,3920,2
B124,M389,C051,E332,2025-08-09 14:30,5,19870,5
B125,M103,C070,E119,2024-07-31 22:00,4,3120,5
B126,M497,C156,E017,2026-01-14 19:30,5,15130,1
B127,M285,C046,E534,2025-11-30 16:30,3,5250,5
B128,M418,C154,E471,2025-04-16 21:30,3,4500,5
B129,M383,C110,E077,2026-01-26 18:30,6,21510,5
B130,M202,C220,E503,2026-01-20 21:00,2,2860,5
B131,M015,C256,E082,2024-10-15 21:00,3,2720,5
B132,M061,C296,E389,2026-04-07 16:00,6,5380,5
B133,M433,C039,E291,2026-03-03 20:30,4,1850,4
B134,M025,C222,E340,2026-02-13 19:30,6,6920,2
B135,M137,C177,E562,2026-05-16 19:30,3,5470,4
B136,M259,C160,E672,2024-12-20 19:00,5,12680,5
B137,M400,C239,E738,2024-12-04 19:00,3,2410,5
B138,M226,C145,E368,2024-08-29 22:30,3,5290,5
B139,M013,C055,E060,2025-06-04 21:30,3,14990,5
B140,M241,C206,E444,2025-02-10 16:00,2,1870,5
B141,M418,C095,E150,2024-12-11 19:30,3,3980,4
B142,M216,C186,E400,2024-11-25 19:30,3,920,4
B143,M250,C022,E009,2025-06-28 20:00,2,3950,5
B144,M054,C114,E282,2024-09-17 18:30,1,1650,5
B145,M425,C134,E432,2025-02-24 19:30,1,4780,4
B146,M433,C002,E106,2024-07-31 16:00,6,6000,4
B147,M305,C140,E555,2025-10-22 21:30,6,22880,3
B148,M072,C242,E550,2025-06-27 22:00,3,2520,5
B149,M190,C083,E125,2026-02-13 18:00,2,3600,3
B150,M286,C146,E180,2025-10-05 22:30,1,590,4
B151,M270,C184,E160,2025-02-05 13:00,6,6910,4
B152,M149,C020,E002,2025-10-27 18:00,4,9660,4
B153,M200,C053,E234,2026-04-18 21:30,4,6180,4
B154,M407,C161,E031,2024-11-11 21:30,2,3110,5
B155,M379,C272,E169,2026-03-17 17:00,3,7500,1
B156,M156,C185,E448,2025-04-07 20:00,6,10710,2
B157,M246,C124,E778,2025-04-17 22:30,1,5560,1
B158,M010,C154,E075,2024-09-13 18:00,2,3310,5
B159,M131,C040,E338,2024-06-25 19:30,4,2600,3
B160,M263,C049,E781,2024-09-16 22:00,5,5960,4
B161,M395,C148,E420,2026-01-27 15:30,4,12230,5
B162,M323,C285,E088,2024-09-03 20:00,5,12850,4
B163,M185,C287,E775,2025-05-16 22:30,4,8460,5
B164,M246,C300,E233,2026-02-10 20:00,4,18670,3
B165,M314,C228,E677,2025-07-23 19:30,3,3390,4
B166,M304,C008,E413,2026-01-22 21:00,3,3560,4
B167,M454,C191,E353,2026-05-23 17:30,3,8640,5
B168,M377,C096,E558,2025-08-31 21:30,3,3510,5
B169,M478,C291,E618,2025-03-24 20:00,4,7980,4
B170,M267,C279,E157,2024-10-02 19:00,3,2790,5
B171,M180,C236,E398,2024-12-05 14:00,2,4730,4
B172,M443,C043,E455,2025-09-14 19:00,3,4470,4
B173,M224,C287,E229,2025-03-19 19:00,2,2200,5
B174,M193,C011,E144,2024-09-19 18:30,3,3560,5
B175,M311,C204,E631,2024-08-19 21:00,3,2090,5
B176,M425,C093,E511,2025-07-06 13:00,3,16150,1
B177,M342,C124,E289,2026-05-09 19:00,4,5720,4
B178,M264,C017,E309,2024-10-23 22:00,3,3670,3
B179,M361,C176,E114,2025-08-17 16:00,2,3010,5
B180,M171,C145,E347,2025-11-30 14:00,4,6910,2
B181,M410,C289,E179,2025-09-14 18:30,4,2020,4
B182,M241,C123,E378,2024-12-04 14:00,6,4800,5
B183,M305,C184,E692,2026-01-21 16:30,2,4660,3
B184,M277,C072,E656,2026-01-09 17:30,3,9600,4
B185,M231,C095,E620,2025-09-25 18:00,5,7370,5
B186,M078,C249,E454,2025-05-14 15:30,3,2720,3
B187,M011,C045,E135,2025-02-18 18:00,3,8560,5
B188,M194,C124,E123,2026-01-25 19:00,3,9750,4
B189,M117,C065,E406,2025-02-01 21:30,4,7960,5
B190,M298,C257,E237,2024-09-23 18:00,1,940,5
B191,M003,C078,E367,2024-09-12 14:00,1,1430,5
B192,M293,C125,E109,2024-06-23 21:30,2,2180,5
B193,M307,C002,E087,2025-12-19 19:00,2,280,4
B194,M184,C051,E664,2025-11-15 21:30,3,3080,4
B195,M360,C144,E733,2025-05-16 21:30,4,2600,5
B196,M481,C159,E363,2024-11-15 19:00,1,210,5
B197,M121,C147,E147,2026-04-13 15:30,4,2210,5
B198,M069,C120,E223,2025-07-19 15:00,2,1740,5
B199,M454,C274,E477,2026-05-07 13:30,4,11280,4
B200,M367,C126,E452,2026-01-22 18:30,3,6440,3
B201,M468,C181,E303,2026-05-08 22:00,2,5130,5
B202,M339,C256,E083,2024-11-17 13:30,3,6080,4
B203,M335,C215,E182,2025-01-12 21:30,2,1780,5
B204,M044,C165,E568,2024-11-23 17:30,3,1310,5
B205,M316,C080,E739,2024-08-03 19:00,2,2510,3
B206,M316,C227,E490,2025-09-10 20:00,1,2180,5
B207,M104,C126,E438,2025-11-10 22:00,2,3030,5
B208,M192,C080,E553,2025-03-26 21:00,2,1160,5
B209,M326,C189,E292,2024-10-09 16:30,3,10380,3
B210,M416,C160,E293,2026-03-10 15:00,2,1520,5
B211,M409,C126,E465,2024-11-18 21:30,3,11370,5
B212,M432,C038,E153,2025-02-15 21:00,2,3940,4
B213,M317,C195,E675,2025-07-31 21:30,3,1230,5
B214,M358,C053,E549,2025-12-24 13:00,3,6710,5
B215,M220,C292,E509,2025-05-17 20:00,2,8640,5
B216,M071,C049,E537,2025-01-11 14:30,2,3170,5
B217,M082,C220,E362,2026-02-02 19:30,3,4140,4
B218,M431,C189,E226,2024-12-30 16:30,2,2610,4
B219,M171,C177,E287,2025-01-06 18:00,2,4060,4
B220,M170,C198,E402,2025-07-26 14:30,4,11370,4
B221,M161,C219,E524,2024-08-22 17:00,2,710,5
B222,M357,C062,E295,2024-09-20 18:00,1,2440,3
B223,M295,C291,E424,2026-01-28 21:30,3,5280,5
B224,M072,C028,E113,2025-07-31 21:30,5,6920,5
B225,M358,C092,E428,2026-04-07 20:30,3,4970,4
B226,M385,C132,E599,2026-03-23 17:30,4,8300,3
B227,M054,C224,E590,2025-07-23 14:00,5,7360,5
B228,M389,C150,E151,2025-07-30 18:30,5,14550,5
B229,M464,C004,E707,2024-07-15 18:00,3,1940,5
B230,M245,C071,E581,2024-11-21 18:30,3,4130,4
B231,M243,C105,E054,2025-03-26 18:30,2,6570,3
B232,M241,C074,E300,2024-10-19 18:30,4,3130,5
B233,M028,C291,E711,2026-03-31 16:30,4,7300,2
B234,M255,C228,E405,2024-12-25 20:00,1,1480,5
B235,M072,C267,E688,2026-04-16 13:00,3,1980,2
B236,M436,C078,E142,2025-07-09 17:30,1,2800,2
B237,M266,C258,E693,2025-02-19 21:00,5,570,4
B238,M478,C279,E792,2025-12-26 19:30,2,4860,4
B239,M342,C196,E463,2024-11-02 19:00,1,1330,3
B240,M278,C208,E708,2025-08-30 20:00,3,8940,3
B241,M203,C172,E212,2024-06-30 20:00,4,14500,5
B242,M432,C069,E446,2025-11-23 21:00,1,3470,5
B243,M360,C027,E582,2025-09-19 20:30,2,1510,4
B244,M429,C289,E782,2025-07-14 16:30,5,1520,5
B245,M448,C150,E111,2025-01-12 19:00,3,4370,5
B246,M360,C031,E544,2025-05-22 13:00,3,1910,5
B247,M263,C019,E752,2026-02-02 15:00,3,4980,2
B248,M149,C033,E063,2024-09-08 20:00,3,6260,5
B249,M347,C170,E078,2025-09-16 21:30,2,2760,3
B250,M324,C245,E528,2024-06-05 20:00,3,6870,5
B251,M316,C007,E044,2025-01-15 20:00,2,3620,5
B252,M152,C057,E391,2024-12-23 18:00,3,6470,5
B253,M046,C020,E037,2025-02-09 18:30,2,8380,5
B254,M447,C270,E415,2024-10-02 18:30,4,4040,4
B255,M051,C048,E719,2026-04-06 20:00,2,4810,4
B256,M055,C292,E433,2024-12-05 18:00,3,4980,4
B257,M295,C267,E365,2024-08-19 19:00,2,2920,4
B258,M430,C165,E488,2025-07-31 19:00,5,4530,5
B259,M201,C131,E213,2024-06-25 17:30,3,4320,5
B260,M355,C280,E451,2026-04-06 18:00,3,6510,4
B261,M332,C261,E593,2024-11-16 16:00,2,2990,4
B262,M247,C247,E097,2024-10-26 19:00,3,2640,5
B263,M461,C220,E275,2026-03-25 21:30,3,3190,4
B264,M103,C078,E796,2026-04-10 19:30,4,4080,3
B265,M092,C197,E474,2026-02-17 21:00,3,5670,5
B266,M035,C190,E325,2024-11-10 17:00,4,12470,3
B267,M432,C190,E129,2024-08-31 20:00,5,11560,5
B268,M397,C240,E005,2025-02-28 20:00,4,22260,1
B269,M459,C065,E578,2025-07-04 18:00,5,2290,4
B270,M408,C285,E784,2025-08-21 21:00,5,16680,5
B271,M242,C060,E481,2024-09-03 19:00,2,2830,4
B272,M351,C247,E132,2025-09-13 20:30,4,5870,4
B273,M305,C005,E799,2024-09-29 21:00,3,5930,3
B274,M360,C143,E145,2026-03-12 20:30,2,1690,4
B275,M478,C179,E695,2024-12-18 21:30,4,6790,5
B276,M237,C241,E679,2024-08-02 19:00,2,3240,5
B277,M450,C062,E729,2025-11-11 19:30,4,4840,5
B278,M196,C223,E386,2026-01-23 17:30,3,8040,5
B279,M162,C194,E417,2026-01-22 22:00,3,3470,4
B280,M007,C188,E273,2026-03-19 21:00,2,3220,5
B281,M202,C187,E691,2025-06-10 19:00,2,4310,4
B282,M093,C046,E712,2026-03-07 19:30,3,7530,4
B283,M355,C235,E639,2024-12-07 18:00,1,2840,5
B284,M224,C059,E250,2024-06-14 14:30,3,3810,5
B285,M451,C169,E085,2024-08-26 13:00,1,1670,2
B286,M357,C078,E407,2024-07-12 18:00,3,4820,2
B287,M188,C293,E411,2025-03-23 21:30,4,7930,5
B288,M304,C285,E345,2024-09-22 19:00,5,5180,4
B289,M260,C106,E520,2024-10-03 16:30,3,14110,5
B290,M215,C292,E585,2025-10-04 18:30,2,4710,4
B291,M204,C146,E649,2025-05-17 20:30,4,3540,3
B292,M467,C254,E094,2025-08-04 17:30,4,10600,4
B293,M074,C266,E374,2024-09-17 21:30,2,2000,4
B294,M064,C002,E686,2025-11-29 16:00,1,2370,5
B295,M280,C026,E022,2024-06-23 14:00,2,5650,4
B296,M175,C013,E018,2025-05-12 18:00,3,2010,4
B297,M433,C206,E508,2025-10-21 20:30,6,3210,2
B298,M352,C102,E661,2024-11-03 16:00,6,22980,4
B299,M358,C103,E613,2025-04-12 20:00,4,5610,2
B300,M299,C270,E039,2026-03-31 13:30,4,3130,2
B301,M364,C159,E117,2026-05-29 21:00,5,5970,2
B302,M324,C119,E540,2026-04-01 18:30,3,11160,2
B303,M435,C093,E557,2026-02-24 17:00,4,5330,5
B304,M458,C113,E051,2024-07-11 19:00,4,1790,2
B305,M222,C088,E789,2024-08-25 16:30,3,5940,5
B306,M342,C220,E141,2025-03-01 13:30,3,2800,5
B307,M165,C235,E586,2024-08-23 13:30,5,14140,5
B308,M431,C113,E004,2024-12-05 22:30,2,4740,5
B309,M486,C281,E038,2025-10-10 20:30,5,1950,5
B310,M230,C104,E628,2025-03-05 18:00,4,4230,4
B311,M048,C300,E143,2025-06-21 20:30,6,13920,3
B312,M123,C209,E621,2025-10-15 15:30,4,11280,2
B313,M052,C249,E746,2026-02-06 18:00,3,5230,3
B314,M212,C065,E491,2025-03-03 20:00,4,14510,5
B315,M460,C222,E419,2024-12-05 19:00,3,5050,5
B316,M045,C204,E026,2024-07-16 13:00,5,16770,3
B317,M301,C095,E177,2025-10-24 17:00,3,6330,5
B318,M291,C100,E012,2026-01-19 16:30,3,1190,5
B319,M087,C282,E333,2026-01-18 18:30,5,3200,5
B320,M001,C150,E624,2025-02-14 16:00,3,2300,4
B321,M315,C246,E350,2024-08-31 19:00,3,2370,5
B322,M162,C282,E390,2026-05-06 21:30,4,8010,4
B323,M272,C163,E760,2026-01-05 17:30,1,1170,5
B324,M062,C226,E298,2026-03-16 22:00,2,640,4
B325,M282,C097,E495,2024-08-24 21:30,3,7890,3
B326,M430,C180,E361,2025-05-26 21:30,4,4340,4
B327,M270,C021,E316,2025-09-19 18:30,2,2410,5
B328,M307,C135,E736,2025-07-08 17:00,3,820,3
B329,M288,C252,E458,2025-10-13 22:00,3,7480,2
B330,M324,C073,E239,2026-03-15 19:00,3,4820,3
B331,M183,C007,E154,2025-12-12 16:30,2,2120,5
B332,M150,C293,E506,2025-12-11 17:00,4,8030,5
B333,M185,C093,E616,2026-04-21 19:30,2,3930,4
B334,M405,C288,E216,2024-08-10 18:00,1,1580,2
B335,M100,C070,E655,2025-06-04 20:00,4,5690,5
B336,M358,C072,E667,2024-06-02 22:30,3,8060,4
B337,M247,C148,E245,2025-03-16 17:30,6,9970,4
B338,M166,C189,E284,2025-09-10 18:00,5,5700,5
B339,M450,C107,E556,2025-10-25 20:00,3,2840,5
B340,M137,C034,E225,2025-08-18 15:00,3,4360,5
B341,M191,C264,E429,2024-10-15 21:00,2,1380,3
B342,M388,C288,E204,2026-03-14 19:30,4,3020,5
B343,M281,C220,E671,2025-10-23 20:30,4,3940,5
B344,M485,C154,E445,2025-10-28 22:00,3,4690,2
B345,M248,C269,E472,2024-11-02 21:00,3,4730,5
B346,M383,C210,E163,2024-07-29 16:30,4,15980,4
B347,M136,C125,E665,2024-09-26 20:30,5,4990,5
B348,M428,C017,E346,2025-11-05 18:00,3,2440,5
B349,M304,C273,E033,2025-05-17 20:30,3,4010,5
B350,M101,C089,E469,2024-08-25 21:30,5,2450,5
B351,M352,C229,E047,2024-11-19 18:30,2,10820,5
B352,M171,C177,E605,2025-01-18 19:30,4,8990,1
B353,M460,C033,E576,2025-05-26 19:30,3,3240,5
B354,M348,C003,E136,2026-05-30 22:30,3,810,4
B355,M108,C117,E320,2024-12-11 17:30,5,2380,4
B356,M345,C120,E791,2025-07-10 21:30,4,4430,5
B357,M096,C052,E339,2025-05-20 17:00,2,4240,4
B358,M150,C086,E030,2026-04-18 14:00,3,7390,4
B359,M075,C223,E271,2026-02-24 18:30,4,3740,4
B360,M184,C027,E684,2025-08-29 21:30,3,4170,5
B361,M188,C150,E694,2025-09-03 19:30,3,3370,5
B362,M485,C042,E442,2026-02-01 21:30,3,5110,3
B363,M184,C184,E312,2024-06-10 15:30,3,4830,5
B364,M242,C127,E426,2026-02-08 18:00,3,3150,5
B365,M339,C244,E089,2024-08-25 20:30,3,6090,5
B366,M084,C218,E766,2024-07-12 19:30,3,1300,5
B367,M138,C061,E527,2024-06-02 15:30,3,2650,4
B368,M006,C031,E164,2024-11-07 21:00,3,2280,5
B369,M009,C121,E247,2026-01-29 19:00,5,21880,5
B370,M371,C031,E447,2025-06-20 20:30,3,2430,4
B371,M363,C226,E721,2025-07-03 21:00,2,7200,5
B372,M112,C118,E779,2024-12-18 20:00,4,7570,5
B373,M077,C075,E666,2025-05-02 17:30,3,12880,4
B374,M020,C075,E376,2025-05-05 17:30,3,3570,4
B375,M137,C242,E253,2024-11-08 17:00,3,3440,4
B376,M309,C033,E190,2025-11-24 20:30,2,2400,5
B377,M154,C133,E767,2026-02-12 16:30,2,1250,5
B378,M326,C128,E208,2025-10-23 22:00,3,8460,4
B379,M331,C081,E703,2026-03-20 18:30,4,14020,5
B380,M175,C209,E110,2025-01-27 14:00,2,1660,5
B381,M308,C200,E479,2025-07-29 16:00,5,5690,5
B382,M422,C261,E219,2024-07-05 16:00,2,1080,5
B383,M026,C258,E762,2025-05-04 18:00,3,12210,3
B384,M301,C127,E101,2026-05-19 18:30,3,8940,5
B385,M343,C223,E224,2025-03-18 14:30,4,6040,2
B386,M264,C232,E579,2024-09-18 20:00,3,3630,4
B387,M370,C042,E610,2026-03-17 16:30,3,1870,4
B388,M025,C091,E326,2025-02-16 21:30,1,1930,4
B389,M257,C018,E574,2025-03-14 16:00,5,7850,4
B390,M435,C088,E355,2025-12-27 19:00,3,6430,4
B391,M127,C025,E049,2025-12-26 15:00,3,710,4
B392,M149,C236,E211,2024-10-17 14:30,4,7670,2
B393,M074,C218,E741,2025-11-27 19:00,3,2180,3
B394,M066,C089,E681,2025-12-01 18:00,2,2240,4
B395,M201,C052,E288,2024-10-25 14:00,3,2990,1
B396,M275,C281,E241,2025-07-23 19:00,2,1010,3
B397,M282,C101,E790,2025-11-09 22:30,4,4920,5
B398,M269,C211,E397,2026-05-05 19:30,2,1360,4
B399,M044,C246,E697,2025-04-26 22:00,6,5020,5
B400,M373,C157,E478,2025-05-26 21:30,4,12650,4
B401,M040,C052,E133,2026-04-30 20:30,4,11210,5
B402,M056,C124,E468,2025-11-01 21:30,3,1650,5
B403,M340,C165,E670,2024-07-24 20:30,2,1870,1
B404,M040,C057,E381,2025-04-05 21:00,5,10780,3
B405,M165,C133,E659,2025-05-21 19:30,5,9400,5
B406,M211,C174,E632,2024-09-15 17:30,3,290,2
B407,M259,C121,E439,2025-01-26 20:30,3,15630,5
B408,M375,C257,E705,2025-02-18 14:00,3,16480,5
B409,M234,C113,E795,2024-12-01 22:00,5,6850,5
B410,M050,C279,E470,2025-10-22 17:30,4,8160,5
B411,M084,C072,E048,2025-11-10 20:30,2,1470,5
B412,M339,C036,E296,2026-03-29 21:00,3,8080,5
B413,M257,C105,E181,2025-03-03 18:30,4,3030,5
B414,M385,C153,E427,2025-06-30 20:00,2,5880,4
B415,M305,C273,E116,2026-01-19 20:30,4,9170,5
B416,M251,C129,E269,2026-03-13 21:30,3,1790,5
B417,M263,C248,E608,2026-03-04 20:00,5,5670,5
B418,M278,C250,E285,2025-09-02 18:00,4,13420,4
B419,M121,C041,E747,2025-01-18 20:30,4,2700,3
B420,M386,C059,E149,2025-03-02 18:30,4,6350,5
B421,M179,C115,E393,2024-12-16 22:30,3,5600,4
B422,M371,C075,E387,2026-04-02 13:30,3,2600,4
B423,M078,C246,E526,2024-10-04 19:00,2,1890,3
B424,M297,C206,E714,2025-12-26 22:30,4,17380,5
B425,M270,C267,E459,2024-09-21 20:30,4,5470,5
B426,M311,C030,E596,2026-05-13 17:30,3,3420,3
B427,M054,C280,E128,2026-03-19 15:30,5,8100,5
B428,M048,C274,E756,2026-05-02 20:00,4,10880,5
B429,M230,C253,E010,2025-08-19 16:00,2,2410,5
B430,M170,C125,E724,2025-08-27 13:00,2,3750,5
B431,M304,C188,E173,2024-09-06 21:00,4,5280,4
B432,M221,C215,E772,2025-03-20 21:30,3,3450,4
B433,M262,C046,E575,2024-07-18 18:00,3,1420,4
B434,M438,C028,E595,2025-10-11 14:30,3,6510,3
B435,M259,C219,E014,2025-05-13 16:30,6,22800,5
B436,M057,C114,E176,2025-02-16 18:30,4,4960,4
B437,M397,C124,E124,2025-01-26 21:30,2,8900,5
B438,M348,C029,E318,2026-01-05 21:30,2,710,4
B439,M162,C265,E768,2024-10-18 14:00,4,5970,4
B440,M281,C064,E601,2025-04-19 21:30,2,1960,5
B441,M319,C075,E619,2025-04-08 19:30,5,4110,5
B442,M035,C095,E279,2024-06-18 14:00,3,10490,2
B443,M415,C131,E757,2025-06-15 14:30,4,12250,5
B444,M357,C208,E187,2026-05-26 14:00,4,7240,5
B445,M194,C051,E268,2026-04-12 16:30,4,11560,5
B446,M047,C200,E240,2025-11-19 17:00,2,1320,4
B447,M268,C173,E410,2025-01-30 20:30,4,5260,5
B448,M166,C297,E678,2025-12-03 21:00,3,2070,4
B449,M308,C091,E626,2024-12-02 20:30,4,3180,5
B450,M179,C048,E193,2026-01-09 13:00,3,9130,2
B451,M478,C241,E221,2025-12-06 19:30,2,3240,2
B452,M069,C246,E710,2025-03-03 20:30,4,4510,5
B453,M166,C088,E185,2026-04-24 16:00,4,4750,5
B454,M435,C118,E538,2024-11-20 20:00,4,5410,5
B455,M095,C121,E252,2024-06-06 18:30,3,6400,1
B456,M326,C159,E103,2025-06-10 18:30,3,5570,5
B457,M431,C139,E567,2026-03-06 18:30,2,5230,2
B458,M003,C158,E377,2026-01-31 19:30,3,5700,5
B459,M339,C264,E121,2025-06-26 18:30,3,4140,4
B460,M004,C295,E281,2025-07-17 22:00,3,4530,4
B461,M357,C099,E635,2025-01-19 14:00,3,6750,5
B462,M346,C029,E096,2025-12-14 21:00,3,5500,4
B463,M011,C103,E073,2026-01-07 20:00,3,7020,4
B464,M474,C124,E650,2025-12-08 14:30,3,2960,4
