Review_ID,Booking_ID,Review_Text,Rating,Created_At,vader_score,bert_score,Sentiment_Score,Sentiment_Label,Musician_ID,Avg_Musician_Rating,Review_Length,Sentiment_Rating_Gap,anomaly_score,is_anomaly
R013,B013,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The vocalist has an exceptional range and genuine stage presence. Cannot recommend highly enough!,5,2026-04-28,0.3298,,0.3298,NEGATIVE,M373,4.0,31,0.6702,0.0208,False
R014,B014,"Perfect in every way. The vocalist has an exceptional range and genuine stage presence. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-03-31,0.8953,,0.8953,POSITIVE,M434,5.0,25,0.10470000000000002,0.1937,False
R015,B015,Excellent entertainment! Seamlessly transitioned between genres to keep all demographics happy. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2024-09-03,0.9626,,0.9626,POSITIVE,M123,3.6666666666666665,23,0.2126,0.1584,False
R016,B016,Good performance and good attitude. Incredibly professional attitude from enquiry through to pack-down. Would appreciate a slightly more varied setlist next time.,4,2024-12-01,0.9088,,0.9088,POSITIVE,M160,4.0,22,0.15880000000000005,0.1779,False
R017,B017,"Complete no-show for 40 minutes, then a shambolic performance. Did not honour the agreed performance schedule or break structure. Avoid.",4,2024-08-27,0.1402,,0.1402,NEGATIVE,M492,3.5,20,0.6098,0.0024,False
R018,B018,"Perfect in every way. The lighting rig they brought added a whole new dimension to the venue. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-05-23,0.879,,0.879,POSITIVE,M034,5.0,28,0.121,0.1724,False
R019,B019,"Perfect in every way. They interacted warmly with guests of all ages and backgrounds. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-07-05,0.9329,,0.9329,POSITIVE,M259,5.0,25,0.06710000000000005,0.2008,False
R020,B020,They were a few minutes late arriving but made up for it with a decent set. Communication was slow before the event and the performance itself was middle-of-the-road.,3,2025-05-04,0.5,,0.5,NEUTRAL,M241,4.5,28,0.0,0.0409,False
R021,B021,"Fantastic night! Played three of our requested songs and arranged them beautifully. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-04-08,0.9669,,0.9669,POSITIVE,M123,3.6666666666666665,23,0.03310000000000002,0.1547,False
R022,B022,Very impressed overall. The acoustic set during dinner was the perfect touch of elegance. Communication beforehand was quick and clear. Performance delivered as promised.,4,2025-05-06,0.968,,0.968,POSITIVE,M016,4.0,24,0.21799999999999997,0.1813,False
R023,B023,Excellent entertainment! Every single technical element was handled with care and expertise. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-07-19,0.9608,,0.9608,POSITIVE,M337,4.0,24,0.2108,0.1892,False
R024,B024,Exceptional talent. Their original material was a real talking point among our guests. They had the whole room on their feet within minutes. Truly memorable.,5,2024-10-12,0.9102,,0.9102,POSITIVE,M201,3.4,25,0.08979999999999999,0.1395,False
R025,B025,Very impressed overall. The lighting rig they brought added a whole new dimension to the venue. Communication beforehand was quick and clear. Performance delivered as promised.,4,2024-07-02,0.8951,,0.8951,POSITIVE,M297,4.5,26,0.1451,0.1916,False
R026,B026,Stay away. Had to be asked repeatedly to adjust the volume to an acceptable level. Not a single positive thing to say about the experience.,5,2026-05-10,0.4204,,0.4204,NEUTRAL,M391,4.75,25,0.5796,0.0199,False
R027,B027,"Okay performance for the price point. Some songs resonated really well, but others seemed rehearsed rather than felt. Wouldn't rush to rebook but wouldn't discourage others either.",3,2026-03-27,0.8152,,0.8152,POSITIVE,M371,3.8,27,0.31520000000000004,0.1205,False
R028,B028,"Average overall. Communication before the event took a while, but they delivered on the day. The talent is clearly there but the energy felt inconsistent throughout the evening.",3,2025-02-08,0.936,,0.936,POSITIVE,M146,3.0,28,0.43600000000000005,0.0837,False
R029,B029,One star is being generous. Multiple equipment failures that were never properly resolved. Everything that could go wrong did go wrong.,5,2024-07-23,0.124,,0.124,NEGATIVE,M447,4.5,21,0.876,-0.023,True
R030,B030,Exceptional talent. They interacted warmly with guests of all ages and backgrounds. They had the whole room on their feet within minutes. Truly memorable.,5,2024-12-15,0.9134,,0.9134,POSITIVE,M324,3.75,24,0.08660000000000001,0.1762,False
R031,B031,"Wow. Just wow. Perfectly punctual, impeccably presented, and artistically superb. If I could give six stars I would. Guests are still talking about it.",5,2026-01-29,0.9754,,0.9754,POSITIVE,M414,5.0,24,0.024599999999999955,0.1677,False
R032,B032,"The sound quality was absolutely crystal clear all night. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-06-18,0.8246,,0.8246,POSITIVE,M404,4.5,30,0.0746,0.1497,False
R033,B033,"Superb performance from start to finish. Perfectly punctual, impeccably presented, and artistically superb. The guests couldn't stop complimenting the entertainment.",5,2024-06-15,0.9685,,0.9685,POSITIVE,M497,3.0,20,0.03149999999999997,0.0448,False
R034,B034,Wow. Just wow. They stayed thirty minutes over schedule — for free — because the crowd demanded it. If I could give six stars I would. Guests are still talking about it.,5,2025-09-11,0.9375,,0.9375,POSITIVE,M482,5.0,32,0.0625,0.0937,False
R035,B035,"They stayed thirty minutes over schedule — for free — because the crowd demanded it. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-04-07,0.8104,,0.8104,POSITIVE,M480,4.0,36,0.06040000000000001,0.0405,False
R036,B036,Let down overall. Multiple equipment failures that were never properly resolved. The booking process was fine but the actual performance missed the mark.,2,2026-05-14,0.217,,0.217,NEGATIVE,M058,2.0,23,0.033,0.0001,False
R037,B037,Quality was drastically below what the demo videos suggested. We ended up playing a Spotify playlist for our guests. A total waste of money.,1,2025-10-11,0.3416,,0.3416,NEGATIVE,M201,3.4,24,0.3416,-0.0196,True
R038,B038,What an incredible evening. They stayed thirty minutes over schedule — for free — because the crowd demanded it. The setlist was perfectly curated for our audience. Highly recommended!,5,2025-05-26,0.9198,,0.9198,POSITIVE,M372,5.0,29,0.08020000000000005,0.1705,False
R039,B039,Good performance and good attitude. The lighting rig they brought added a whole new dimension to the venue. Would appreciate a slightly more varied setlist next time.,4,2025-07-24,0.8953,,0.8953,POSITIVE,M391,4.75,27,0.14529999999999998,0.1635,False
R040,B040,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The sound quality was absolutely crystal clear all night. Cannot recommend highly enough!,5,2025-06-24,0.632,,0.632,POSITIVE,M299,4.0,30,0.368,0.0704,False
R041,B041,Superb performance from start to finish. Their original material was a real talking point among our guests. The guests couldn't stop complimenting the entertainment.,1,2024-08-06,0.906,,0.906,POSITIVE,M285,3.0,24,0.906,-0.1056,True
R042,B042,"Very enjoyable night. Perfectly punctual, impeccably presented, and artistically superb. The sound balance could have been slightly better, but the talent speaks for itself.",4,2024-10-14,0.9488,,0.9488,POSITIVE,M426,4.0,24,0.19879999999999998,0.2,False
R043,B043,Really great performance overall. The vocalist has an exceptional range and genuine stage presence. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2025-06-25,0.9036,,0.9036,POSITIVE,M060,4.0,28,0.15359999999999996,0.2006,False
R044,B044,"They stayed thirty minutes over schedule — for free — because the crowd demanded it. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-09-28,0.8104,,0.8104,POSITIVE,M032,4.0,36,0.06040000000000001,0.0405,False
R045,B045,"Every single technical element was handled with care and expertise. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-05-17,0.8334,,0.8334,POSITIVE,M071,4.5,31,0.08340000000000003,0.1432,False
R046,B046,Superb performance from start to finish. Arrived a full hour early and set up without any fuss. The guests couldn't stop complimenting the entertainment.,5,2026-01-18,0.8629,,0.8629,POSITIVE,M374,5.0,24,0.1371,0.1767,False
R047,B047,Great experience. Crowd engagement was phenomenal — they read the room perfectly. They were accommodating with our song requests and the vibe was spot on.,4,2025-11-11,0.9531,,0.9531,POSITIVE,M367,3.5,25,0.20309999999999995,0.162,False
R048,B048,Outstanding! They interacted warmly with guests of all ages and backgrounds. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-05-21,0.9506,,0.9506,POSITIVE,M323,4.5,25,0.0494,0.2041,False
R049,B049,"Perfect in every way. Every single technical element was handled with care and expertise. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-02-22,0.9404,,0.9404,POSITIVE,M163,5.0,25,0.059599999999999986,0.2002,False
R050,B050,"Unfortunately a disappointing night. Quality was drastically below what the demo videos suggested. I hope this was an off night for them, but we can't take that risk again.",2,2026-03-05,0.5477,,0.5477,NEUTRAL,M177,3.0,29,0.29769999999999996,0.0203,False
R051,B051,Excellent entertainment! The lighting rig they brought added a whole new dimension to the venue. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-08-23,0.9483,,0.9483,POSITIVE,M486,4.5,27,0.19830000000000003,0.1876,False
R052,B052,"Incredibly professional attitude from enquiry through to pack-down. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-07-16,0.7607,,0.7607,POSITIVE,M212,4.666666666666667,29,0.010700000000000043,0.0799,False
R053,B053,"Perfect in every way. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-02-24,0.9278,,0.9278,POSITIVE,M164,5.0,30,0.07220000000000004,0.1535,False
R054,B054,"Absolutely sensational performance — the crowd was completely blown away from the first song to the last. Perfectly punctual, impeccably presented, and artistically superb. Cannot recommend highly enough!",5,2025-11-15,0.9084,,0.9084,POSITIVE,M201,3.4,28,0.09160000000000001,0.1269,False
R055,B055,Best booking decision we ever made. We were blown away by how well they adapted to different audience moods. Professionalism from start to finish. Five stars without hesitation.,5,2024-08-21,0.8986,,0.8986,POSITIVE,M075,4.5,28,0.10140000000000005,0.1943,False
R056,B056,Outstanding! Incredibly professional attitude from enquiry through to pack-down. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-08-24,0.927,,0.927,POSITIVE,M265,5.0,23,0.07299999999999995,0.1974,False
R057,B057,Outstanding! Seamlessly transitioned between genres to keep all demographics happy. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-05-25,0.9597,,0.9597,POSITIVE,M006,5.0,24,0.0403,0.1922,False
R058,B058,"Very enjoyable night. Played three of our requested songs and arranged them beautifully. The sound balance could have been slightly better, but the talent speaks for itself.",4,2025-11-09,0.9342,,0.9342,POSITIVE,M048,3.4,27,0.18420000000000003,0.1552,False
R059,B059,Genuinely shocking. Multiple equipment failures that were never properly resolved. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,4,2024-12-03,0.0908,,0.0908,NEGATIVE,M051,3.75,28,0.6592,-0.0186,True
R060,B060,Good performance and good attitude. Every single technical element was handled with care and expertise. Would appreciate a slightly more varied setlist next time.,4,2026-02-23,0.9467,,0.9467,POSITIVE,M042,4.0,24,0.19669999999999999,0.1995,False
R061,B061,Exceptional talent. The lighting rig they brought added a whole new dimension to the venue. They had the whole room on their feet within minutes. Truly memorable.,5,2024-09-23,0.8348,,0.8348,POSITIVE,M220,4.666666666666667,27,0.1652,0.152,False
R062,B062,Superb performance from start to finish. They interacted warmly with guests of all ages and backgrounds. The guests couldn't stop complimenting the entertainment.,5,2025-02-02,0.9155,,0.9155,POSITIVE,M281,5.0,23,0.08450000000000002,0.1962,False
R063,B063,Not up to the standard we needed for our event. Multiple equipment failures that were never properly resolved. Guests noticed and commented on it.,2,2025-09-21,0.2274,,0.2274,NEGATIVE,M225,2.0,24,0.02260000000000001,-0.0037,True
R064,B064,Exceptional talent. They stayed thirty minutes over schedule — for free — because the crowd demanded it. They had the whole room on their feet within minutes. Truly memorable.,5,2024-10-26,0.9061,,0.9061,POSITIVE,M281,5.0,29,0.09389999999999998,0.1737,False
R065,B065,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The vocalist has an exceptional range and genuine stage presence. Cannot recommend highly enough!,5,2025-09-20,0.3298,,0.3298,NEGATIVE,M460,5.0,31,0.6702,0.0231,False
R066,B066,Excellent entertainment! Seamlessly transitioned between genres to keep all demographics happy. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2024-07-30,0.9626,,0.9626,POSITIVE,M005,3.5,23,0.2126,0.1452,False
R067,B067,High-quality entertainment. Their original material was a real talking point among our guests. Everything ran smoothly and the crowd response was fantastic.,4,2024-10-20,0.9136,,0.9136,POSITIVE,M228,4.0,22,0.16359999999999997,0.1787,False
R068,B068,"They interacted warmly with guests of all ages and backgrounds. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2025-12-26,0.9158,,0.9158,POSITIVE,M009,3.6666666666666665,22,0.16579999999999995,0.1576,False
R069,B069,Struggled to connect with the audience. Barely interacted with the audience and seemed disengaged. The energy just wasn't there on the night.,2,2025-09-25,0.4614,,0.4614,NEUTRAL,M048,3.4,22,0.21139999999999998,0.0557,False
R070,B070,Genuinely shocking. Quality was drastically below what the demo videos suggested. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,1,2025-06-25,0.1938,,0.1938,NEGATIVE,M038,2.0,29,0.1938,-0.0861,True
R071,B071,"Average overall. The setlist skewed older than we requested, which divided the crowd a little. The talent is clearly there but the energy felt inconsistent throughout the evening.",3,2025-07-13,0.822,,0.822,POSITIVE,M226,4.0,28,0.32199999999999995,0.1291,False
R072,B072,Enjoyed the performance very much. They interacted warmly with guests of all ages and backgrounds. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2024-07-26,0.898,,0.898,POSITIVE,M418,4.0,28,0.14800000000000002,0.2026,False
R073,B073,Outstanding! The sound quality was absolutely crystal clear all night. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2024-10-10,0.9524,,0.9524,POSITIVE,M064,4.5,24,0.047599999999999976,0.2045,False
R074,B074,"Incredibly professional attitude from enquiry through to pack-down. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2026-05-03,0.8634,,0.8634,POSITIVE,M369,4.0,20,0.11339999999999995,0.1261,False
R075,B075,"Very enjoyable night. Played three of our requested songs and arranged them beautifully. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-01-27,0.9342,,0.9342,POSITIVE,M120,4.0,27,0.18420000000000003,0.1984,False
R076,B076,"Perfect in every way. Their original material was a real talking point among our guests. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-11-24,0.926,,0.926,POSITIVE,M202,4.666666666666667,26,0.07399999999999995,0.1919,False
R077,B077,"Very enjoyable night. The acoustic set during dinner was the perfect touch of elegance. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-01-15,0.9375,,0.9375,POSITIVE,M181,4.0,28,0.1875,0.198,False
R078,B078,Enjoyed the performance very much. Every single technical element was handled with care and expertise. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2025-01-09,0.911,,0.911,POSITIVE,M260,4.5,28,0.16100000000000003,0.1943,False
R079,B079,Very impressed overall. Seamlessly transitioned between genres to keep all demographics happy. Communication beforehand was quick and clear. Performance delivered as promised.,4,2024-08-12,0.952,,0.952,POSITIVE,M089,4.5,22,0.20199999999999996,0.1745,False
R080,B080,Seamlessly transitioned between genres to keep all demographics happy. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2024-07-18,0.9156,,0.9156,POSITIVE,M026,4.0,22,0.08440000000000003,0.1658,False
R081,B081,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2025-08-11,0.9112,,0.9112,POSITIVE,M339,4.6,27,0.08879999999999999,0.1934,False
R082,B082,"Perfect in every way. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-05-26,0.9278,,0.9278,POSITIVE,M092,5.0,30,0.07220000000000004,0.1535,False
R083,B083,"Perfect in every way. Played three of our requested songs and arranged them beautifully. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-08-13,0.96,,0.96,POSITIVE,M347,4.333333333333333,25,0.040000000000000036,0.1926,False
R084,B084,Outstanding! We were blown away by how well they adapted to different audience moods. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-11-26,0.9437,,0.9437,POSITIVE,M417,5.0,28,0.05630000000000002,0.1773,False
R085,B085,Enjoyed the performance very much. The vocalist has an exceptional range and genuine stage presence. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2025-08-01,0.8295,,0.8295,POSITIVE,M389,4.666666666666667,28,0.07950000000000002,0.1433,False
R086,B086,"Perfect in every way. The sound quality was absolutely crystal clear all night. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-11-23,0.9357,,0.9357,POSITIVE,M145,5.0,24,0.06430000000000002,0.2022,False
R087,B087,"Fantastic night! Incredibly professional attitude from enquiry through to pack-down. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-06-03,0.9202,,0.9202,POSITIVE,M079,5.0,21,0.07979999999999998,0.153,False
R088,B088,"Perfect in every way. Crowd engagement was phenomenal — they read the room perfectly. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-03-13,0.9674,,0.9674,POSITIVE,M231,5.0,25,0.03259999999999996,0.1849,False
R089,B089,What an incredible evening. The sound quality was absolutely crystal clear all night. The setlist was perfectly curated for our audience. Highly recommended!,5,2025-04-28,0.9289,,0.9289,POSITIVE,M349,5.0,23,0.07110000000000005,0.1959,False
R090,B090,"Fantastic night! Their original material was a real talking point among our guests. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-06-25,0.9418,,0.9418,POSITIVE,M438,4.0,24,0.05820000000000003,0.1927,False
R091,B091,"Okay performance for the price point. Some technical issues in the first half, though they rallied well after the break. Wouldn't rush to rebook but wouldn't discourage others either.",3,2024-07-26,0.806,,0.806,POSITIVE,M492,3.5,29,0.30600000000000005,0.1115,False
R092,B092,Good performance and good attitude. Their original material was a real talking point among our guests. Would appreciate a slightly more varied setlist next time.,4,2024-12-10,0.9344,,0.9344,POSITIVE,M041,4.0,25,0.1844,0.1998,False
R093,B093,Good performance and good attitude. They interacted warmly with guests of all ages and backgrounds. Would appreciate a slightly more varied setlist next time.,4,2025-01-16,0.9404,,0.9404,POSITIVE,M371,3.8,24,0.1904,0.1828,False
R094,B094,Really great performance overall. The sound quality was absolutely crystal clear all night. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2024-08-25,0.9248,,0.9248,POSITIVE,M154,4.5,27,0.17479999999999996,0.191,False
R095,B095,Excellent entertainment! Incredibly professional attitude from enquiry through to pack-down. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2026-01-30,0.951,,0.951,POSITIVE,M011,4.5,22,0.20099999999999996,0.1753,False
R096,B096,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The acoustic set during dinner was the perfect touch of elegance. Cannot recommend highly enough!,5,2026-03-11,0.8584,,0.8584,POSITIVE,M301,5.0,32,0.14159999999999995,0.0864,False
R097,B097,"Fantastic night! Crowd engagement was phenomenal — they read the room perfectly. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-10-20,0.9726,,0.9726,POSITIVE,M039,5.0,23,0.02739999999999998,0.1663,False
R098,B098,Mixed feelings. Started really strongly then seemed to lose the room halfway through. Sound check took longer than expected but the performance itself was reasonable.,3,2025-07-01,0.4802,,0.4802,NEUTRAL,M051,3.75,25,0.019799999999999984,0.076,False
R099,B099,Genuinely shocking. The performance lasted only 40 minutes despite booking a two-hour slot. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,5,2025-05-25,0.1938,,0.1938,NEGATIVE,M259,5.0,31,0.8062,-0.0298,True
R100,B100,"Fantastic night! Arrived a full hour early and set up without any fuss. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-03-05,0.9202,,0.9202,POSITIVE,M383,4.666666666666667,24,0.07979999999999998,0.1984,False
R101,B101,The vocalist has an exceptional range and genuine stage presence. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2025-09-24,0.812,,0.812,POSITIVE,M475,5.0,23,0.18799999999999994,0.1166,False
R102,B102,"Very enjoyable night. We were blown away by how well they adapted to different audience moods. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-04-03,0.8996,,0.8996,POSITIVE,M108,4.25,30,0.14959999999999996,0.1686,False
R103,B103,High-quality entertainment. Crowd engagement was phenomenal — they read the room perfectly. Everything ran smoothly and the crowd response was fantastic.,4,2024-11-11,0.9637,,0.9637,POSITIVE,M380,4.0,21,0.2137,0.142,False
R104,B104,"Really great performance overall. Perfectly punctual, impeccably presented, and artistically superb. Minor technical hiccup at the start but they handled it gracefully. Would book again.",4,2025-01-19,0.9545,,0.9545,POSITIVE,M373,4.0,25,0.20450000000000002,0.1988,False
R105,B105,Outstanding! The vocalist has an exceptional range and genuine stage presence. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2026-04-13,0.927,,0.927,POSITIVE,M104,5.0,25,0.07299999999999995,0.2043,False
R106,B106,"Outstanding! Perfectly punctual, impeccably presented, and artistically superb. The energy was infectious and everyone had an incredible time. Will definitely book again.",5,2024-06-13,0.9781,,0.9781,POSITIVE,M425,3.75,22,0.02190000000000003,0.1265,False
R107,B107,One star is being generous. Did not honour the agreed performance schedule or break structure. Everything that could go wrong did go wrong.,5,2025-02-22,0.1138,,0.1138,NEGATIVE,M416,5.0,23,0.8862,-0.0532,True
R108,B108,Really great performance overall. The vocalist has an exceptional range and genuine stage presence. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2025-06-07,0.9036,,0.9036,POSITIVE,M452,4.0,28,0.15359999999999996,0.2006,False
R109,B109,Their original material was a real talking point among our guests. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2026-05-18,0.875,,0.875,POSITIVE,M011,4.5,24,0.125,0.1872,False
R110,B110,Exceptional talent. The acoustic set during dinner was the perfect touch of elegance. They had the whole room on their feet within minutes. Truly memorable.,5,2025-03-20,0.9576,,0.9576,POSITIVE,M052,4.0,25,0.04239999999999999,0.1884,False
R111,B111,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2026-03-25,0.9112,,0.9112,POSITIVE,M055,4.5,27,0.08879999999999999,0.2033,False
R112,B112,Good performance and good attitude. Every single technical element was handled with care and expertise. Would appreciate a slightly more varied setlist next time.,4,2024-12-03,0.9467,,0.9467,POSITIVE,M040,4.0,24,0.19669999999999999,0.1995,False
R113,B113,Outstanding! Every single technical element was handled with care and expertise. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2026-02-07,0.9555,,0.9555,POSITIVE,M224,4.75,25,0.044499999999999984,0.1933,False
R114,B114,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The lighting rig they brought added a whole new dimension to the venue. Cannot recommend highly enough!,5,2026-05-13,0.2796,,0.2796,NEGATIVE,M391,4.75,34,0.7203999999999999,-0.0211,True
R115,B115,Exceptional talent. Every single technical element was handled with care and expertise. They had the whole room on their feet within minutes. Truly memorable.,5,2025-12-31,0.924,,0.924,POSITIVE,M045,4.333333333333333,24,0.07599999999999996,0.2006,False
R116,B116,"Complete no-show for 40 minutes, then a shambolic performance. Quality was drastically below what the demo videos suggested. Avoid.",4,2024-07-04,0.352,,0.352,NEGATIVE,M016,4.0,19,0.398,0.0215,False
R117,B117,"The vocalist has an exceptional range and genuine stage presence. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-10-19,0.7607,,0.7607,POSITIVE,M295,4.333333333333333,31,0.010700000000000043,0.0951,False
R118,B118,"The lighting rig they brought added a whole new dimension to the venue. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2025-01-13,0.8404,,0.8404,POSITIVE,M076,4.0,25,0.09040000000000004,0.1718,False
R119,B119,"Fairly good but room for improvement. Some songs resonated really well, but others seemed rehearsed rather than felt. Worth trying if the budget is tight, but there are better options.",3,2025-10-19,0.9676,,0.9676,POSITIVE,M215,3.5,30,0.4676,0.0649,False
R120,B120,One star is being generous. Sound quality was poor throughout — muffled and unbalanced. Everything that could go wrong did go wrong.,5,2025-07-26,0.1408,,0.1408,NEGATIVE,M305,3.5,22,0.8592,-0.0353,True
R121,B121,"Some guests enjoyed it, others were less enthused. A solid performance, though it felt like they were playing it safe creatively. Largely delivered what was advertised, I suppose.",3,2026-05-16,0.9665,,0.9665,POSITIVE,M139,3.0,28,0.4665,0.0602,False
R122,B122,What an incredible evening. Crowd engagement was phenomenal — they read the room perfectly. The setlist was perfectly curated for our audience. Highly recommended!,5,2026-03-21,0.9666,,0.9666,POSITIVE,M101,5.0,24,0.033399999999999985,0.186,False
R123,B123,Disappointing experience unfortunately. Attitude was rude and dismissive when guests made requests. We expected much better based on the profile.,2,2024-11-11,0.1546,,0.1546,NEGATIVE,M254,2.0,20,0.09540000000000001,-0.0181,True
