Review_ID,Booking_ID,Review_Text,Rating,Created_At,vader_score,bert_score,Sentiment_Score,Sentiment_Label
R047,B047,Great experience. Crowd engagement was phenomenal — they read the room perfectly. They were accommodating with our song requests and the vibe was spot on.,4,2025-11-11,0.9531,0.9835,0.9714,POSITIVE
R048,B048,Outstanding! They interacted warmly with guests of all ages and backgrounds. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-05-21,0.9506,0.9822,0.9696,POSITIVE
R049,B049,"Perfect in every way. Every single technical element was handled with care and expertise. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-02-22,0.9404,0.9829,0.9659,POSITIVE
R050,B050,"Unfortunately a disappointing night. Quality was drastically below what the demo videos suggested. I hope this was an off night for them, but we can't take that risk again.",2,2026-03-05,0.5477,0.2346,0.3598,NEGATIVE
R051,B051,Excellent entertainment! The lighting rig they brought added a whole new dimension to the venue. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-08-23,0.9483,0.9825,0.9688,POSITIVE
R052,B052,"Incredibly professional attitude from enquiry through to pack-down. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-07-16,0.7607,0.983,0.8941,POSITIVE
R053,B053,"Perfect in every way. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-02-24,0.9278,0.9833,0.9611,POSITIVE
R054,B054,"Absolutely sensational performance — the crowd was completely blown away from the first song to the last. Perfectly punctual, impeccably presented, and artistically superb. Cannot recommend highly enough!",5,2025-11-15,0.9084,0.9832,0.9532,POSITIVE
R055,B055,Best booking decision we ever made. We were blown away by how well they adapted to different audience moods. Professionalism from start to finish. Five stars without hesitation.,5,2024-08-21,0.8986,0.9832,0.9494,POSITIVE
R056,B056,Outstanding! Incredibly professional attitude from enquiry through to pack-down. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-08-24,0.927,0.9825,0.9603,POSITIVE
R057,B057,Outstanding! Seamlessly transitioned between genres to keep all demographics happy. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-05-25,0.9597,0.9826,0.9734,POSITIVE
R058,B058,"Very enjoyable night. Played three of our requested songs and arranged them beautifully. The sound balance could have been slightly better, but the talent speaks for itself.",4,2025-11-09,0.9342,0.983,0.9635,POSITIVE
R059,B059,Genuinely shocking. Multiple equipment failures that were never properly resolved. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,4,2024-12-03,0.0908,0.8926,0.5719,NEUTRAL
R060,B060,Good performance and good attitude. Every single technical element was handled with care and expertise. Would appreciate a slightly more varied setlist next time.,4,2026-02-23,0.9467,0.982,0.9679,POSITIVE
R061,B061,Exceptional talent. The lighting rig they brought added a whole new dimension to the venue. They had the whole room on their feet within minutes. Truly memorable.,5,2024-09-23,0.8348,0.9819,0.9231,POSITIVE
R062,B062,Superb performance from start to finish. They interacted warmly with guests of all ages and backgrounds. The guests couldn't stop complimenting the entertainment.,5,2025-02-02,0.9155,0.9832,0.9561,POSITIVE
R063,B063,Not up to the standard we needed for our event. Multiple equipment failures that were never properly resolved. Guests noticed and commented on it.,2,2025-09-21,0.2274,0.2398,0.2349,NEGATIVE
R064,B064,Exceptional talent. They stayed thirty minutes over schedule — for free — because the crowd demanded it. They had the whole room on their feet within minutes. Truly memorable.,5,2024-10-26,0.9061,0.9836,0.9526,POSITIVE
R065,B065,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The vocalist has an exceptional range and genuine stage presence. Cannot recommend highly enough!,5,2025-09-20,0.3298,0.9831,0.7218,POSITIVE
R066,B066,Excellent entertainment! Seamlessly transitioned between genres to keep all demographics happy. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2024-07-30,0.9626,0.9833,0.975,POSITIVE
R067,B067,High-quality entertainment. Their original material was a real talking point among our guests. Everything ran smoothly and the crowd response was fantastic.,4,2024-10-20,0.9136,0.9829,0.9551,POSITIVE
R068,B068,"They interacted warmly with guests of all ages and backgrounds. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2025-12-26,0.9158,0.9829,0.956,POSITIVE
R069,B069,Struggled to connect with the audience. Barely interacted with the audience and seemed disengaged. The energy just wasn't there on the night.,2,2025-09-25,0.4614,0.2247,0.3194,NEGATIVE
R070,B070,Genuinely shocking. Quality was drastically below what the demo videos suggested. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,1,2025-06-25,0.1938,0.8126,0.5651,NEUTRAL
R071,B071,"Average overall. The setlist skewed older than we requested, which divided the crowd a little. The talent is clearly there but the energy felt inconsistent throughout the evening.",3,2025-07-13,0.822,0.5,0.6288,POSITIVE
R072,B072,Enjoyed the performance very much. They interacted warmly with guests of all ages and backgrounds. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2024-07-26,0.898,0.9839,0.9495,POSITIVE
R073,B073,Outstanding! The sound quality was absolutely crystal clear all night. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2024-10-10,0.9524,0.9813,0.9697,POSITIVE
R074,B074,"Incredibly professional attitude from enquiry through to pack-down. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2026-05-03,0.8634,0.9823,0.9347,POSITIVE
R075,B075,"Very enjoyable night. Played three of our requested songs and arranged them beautifully. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-01-27,0.9342,0.983,0.9635,POSITIVE
R076,B076,"Perfect in every way. Their original material was a real talking point among our guests. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-11-24,0.926,0.9835,0.9605,POSITIVE
R077,B077,"Very enjoyable night. The acoustic set during dinner was the perfect touch of elegance. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-01-15,0.9375,0.9827,0.9646,POSITIVE
R078,B078,Enjoyed the performance very much. Every single technical element was handled with care and expertise. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2025-01-09,0.911,0.9831,0.9543,POSITIVE
R079,B079,Very impressed overall. Seamlessly transitioned between genres to keep all demographics happy. Communication beforehand was quick and clear. Performance delivered as promised.,4,2024-08-12,0.952,0.9833,0.9708,POSITIVE
R080,B080,Seamlessly transitioned between genres to keep all demographics happy. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2024-07-18,0.9156,0.9834,0.9563,POSITIVE
R081,B081,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2025-08-11,0.9112,0.983,0.9543,POSITIVE
R082,B082,"Perfect in every way. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-05-26,0.9278,0.9833,0.9611,POSITIVE
R083,B083,"Perfect in every way. Played three of our requested songs and arranged them beautifully. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-08-13,0.96,0.9832,0.974,POSITIVE
R084,B084,Outstanding! We were blown away by how well they adapted to different audience moods. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-11-26,0.9437,0.9828,0.9672,POSITIVE
R085,B085,Enjoyed the performance very much. The vocalist has an exceptional range and genuine stage presence. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2025-08-01,0.8295,0.9827,0.9214,POSITIVE
R086,B086,"Perfect in every way. The sound quality was absolutely crystal clear all night. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-11-23,0.9357,0.9833,0.9643,POSITIVE
R087,B087,"Fantastic night! Incredibly professional attitude from enquiry through to pack-down. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-06-03,0.9202,0.9826,0.9577,POSITIVE
R088,B088,"Perfect in every way. Crowd engagement was phenomenal — they read the room perfectly. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-03-13,0.9674,0.9838,0.9772,POSITIVE
R089,B089,What an incredible evening. The sound quality was absolutely crystal clear all night. The setlist was perfectly curated for our audience. Highly recommended!,5,2025-04-28,0.9289,0.9832,0.9615,POSITIVE
R090,B090,"Fantastic night! Their original material was a real talking point among our guests. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-06-25,0.9418,0.9832,0.9667,POSITIVE
R091,B091,"Okay performance for the price point. Some technical issues in the first half, though they rallied well after the break. Wouldn't rush to rebook but wouldn't discourage others either.",3,2024-07-26,0.806,0.5,0.6224,POSITIVE
R092,B092,Good performance and good attitude. Their original material was a real talking point among our guests. Would appreciate a slightly more varied setlist next time.,4,2024-12-10,0.9344,0.9832,0.9637,POSITIVE
R093,B093,Good performance and good attitude. They interacted warmly with guests of all ages and backgrounds. Would appreciate a slightly more varied setlist next time.,4,2025-01-16,0.9404,0.9827,0.9657,POSITIVE
R094,B094,Really great performance overall. The sound quality was absolutely crystal clear all night. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2024-08-25,0.9248,0.9831,0.9597,POSITIVE
R095,B095,Excellent entertainment! Incredibly professional attitude from enquiry through to pack-down. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2026-01-30,0.951,0.9824,0.9698,POSITIVE
R096,B096,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The acoustic set during dinner was the perfect touch of elegance. Cannot recommend highly enough!,5,2026-03-11,0.8584,0.9831,0.9332,POSITIVE
R097,B097,"Fantastic night! Crowd engagement was phenomenal — they read the room perfectly. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-10-20,0.9726,0.9833,0.979,POSITIVE
R098,B098,Mixed feelings. Started really strongly then seemed to lose the room halfway through. Sound check took longer than expected but the performance itself was reasonable.,3,2025-07-01,0.4802,0.5,0.4921,NEUTRAL
R099,B099,Genuinely shocking. The performance lasted only 40 minutes despite booking a two-hour slot. I have been attending events for 20 years and this was the worst entertainment I have ever witnessed.,5,2025-05-25,0.1938,0.9609,0.654,POSITIVE
R100,B100,"Fantastic night! Arrived a full hour early and set up without any fuss. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-03-05,0.9202,0.9833,0.9581,POSITIVE
R101,B101,The vocalist has an exceptional range and genuine stage presence. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2025-09-24,0.812,0.9829,0.9145,POSITIVE
R102,B102,"Very enjoyable night. We were blown away by how well they adapted to different audience moods. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-04-03,0.8996,0.983,0.9497,POSITIVE
R103,B103,High-quality entertainment. Crowd engagement was phenomenal — they read the room perfectly. Everything ran smoothly and the crowd response was fantastic.,4,2024-11-11,0.9637,0.9823,0.9749,POSITIVE
R104,B104,"Really great performance overall. Perfectly punctual, impeccably presented, and artistically superb. Minor technical hiccup at the start but they handled it gracefully. Would book again.",4,2025-01-19,0.9545,0.9832,0.9717,POSITIVE
R105,B105,Outstanding! The vocalist has an exceptional range and genuine stage presence. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2026-04-13,0.927,0.9828,0.9604,POSITIVE
R106,B106,"Outstanding! Perfectly punctual, impeccably presented, and artistically superb. The energy was infectious and everyone had an incredible time. Will definitely book again.",5,2024-06-13,0.9781,0.9829,0.981,POSITIVE
R107,B107,One star is being generous. Did not honour the agreed performance schedule or break structure. Everything that could go wrong did go wrong.,5,2025-02-22,0.1138,0.9791,0.633,POSITIVE
R108,B108,Really great performance overall. The vocalist has an exceptional range and genuine stage presence. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2025-06-07,0.9036,0.9834,0.9515,POSITIVE
R109,B109,Their original material was a real talking point among our guests. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2026-05-18,0.875,0.9834,0.9401,POSITIVE
R110,B110,Exceptional talent. The acoustic set during dinner was the perfect touch of elegance. They had the whole room on their feet within minutes. Truly memorable.,5,2025-03-20,0.9576,0.9823,0.9724,POSITIVE
R111,B111,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2026-03-25,0.9112,0.983,0.9543,POSITIVE
R112,B112,Good performance and good attitude. Every single technical element was handled with care and expertise. Would appreciate a slightly more varied setlist next time.,4,2024-12-03,0.9467,0.982,0.9679,POSITIVE
R113,B113,Outstanding! Every single technical element was handled with care and expertise. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2026-02-07,0.9555,0.9823,0.9716,POSITIVE
R114,B114,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The lighting rig they brought added a whole new dimension to the venue. Cannot recommend highly enough!,5,2026-05-13,0.2796,0.9832,0.7018,POSITIVE
R115,B115,Exceptional talent. Every single technical element was handled with care and expertise. They had the whole room on their feet within minutes. Truly memorable.,5,2025-12-31,0.924,0.982,0.9588,POSITIVE
R116,B116,"Complete no-show for 40 minutes, then a shambolic performance. Quality was drastically below what the demo videos suggested. Avoid.",4,2024-07-04,0.352,0.8236,0.635,POSITIVE
R117,B117,"The vocalist has an exceptional range and genuine stage presence. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-10-19,0.7607,0.9832,0.8942,POSITIVE
R118,B118,"The lighting rig they brought added a whole new dimension to the venue. A solid, professional performance. Guests were happy and dancing all night. Recommended.",4,2025-01-13,0.8404,0.9819,0.9253,POSITIVE
R119,B119,"Fairly good but room for improvement. Some songs resonated really well, but others seemed rehearsed rather than felt. Worth trying if the budget is tight, but there are better options.",3,2025-10-19,0.9676,0.5,0.6871,POSITIVE
R120,B120,One star is being generous. Sound quality was poor throughout — muffled and unbalanced. Everything that could go wrong did go wrong.,5,2025-07-26,0.1408,0.9759,0.6419,POSITIVE
R121,B121,"Some guests enjoyed it, others were less enthused. A solid performance, though it felt like they were playing it safe creatively. Largely delivered what was advertised, I suppose.",3,2026-05-16,0.9665,0.5,0.6866,POSITIVE
R122,B122,What an incredible evening. Crowd engagement was phenomenal — they read the room perfectly. The setlist was perfectly curated for our audience. Highly recommended!,5,2026-03-21,0.9666,0.984,0.977,POSITIVE
R123,B123,Disappointing experience unfortunately. Attitude was rude and dismissive when guests made requests. We expected much better based on the profile.,2,2024-11-11,0.1546,0.2364,0.2037,NEGATIVE
R124,B124,"Perfect in every way. The acoustic set during dinner was the perfect touch of elegance. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-08-14,0.965,0.9832,0.9759,POSITIVE
R125,B125,Worst booking I have ever made. The performance lasted only 40 minutes despite booking a two-hour slot. The 'performance' was embarrassing for everyone.,5,2024-08-13,0.1141,0.8547,0.5585,NEUTRAL
R126,B126,Barely interacted with the audience and seemed disengaged. We ended up playing a Spotify playlist for our guests. A total waste of money.,1,2026-01-22,0.3416,0.2308,0.2751,NEGATIVE
R127,B127,Best booking decision we ever made. Crowd engagement was phenomenal — they read the room perfectly. Professionalism from start to finish. Five stars without hesitation.,5,2025-12-03,0.961,0.9834,0.9744,POSITIVE
R128,B128,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. We were blown away by how well they adapted to different audience moods. Cannot recommend highly enough!,5,2025-04-29,0.4612,0.9834,0.7745,POSITIVE
R129,B129,"Perfect in every way. Seamlessly transitioned between genres to keep all demographics happy. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-02-01,0.9467,0.9829,0.9684,POSITIVE
R130,B130,Best booking decision we ever made. Their original material was a real talking point among our guests. Professionalism from start to finish. Five stars without hesitation.,5,2026-01-31,0.904,0.9831,0.9515,POSITIVE
R131,B131,"Perfect in every way. We were blown away by how well they adapted to different audience moods. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2024-10-20,0.9221,0.9835,0.959,POSITIVE
R132,B132,Wow. Just wow. Incredibly professional attitude from enquiry through to pack-down. If I could give six stars I would. Guests are still talking about it.,5,2026-04-19,0.9112,0.9831,0.9544,POSITIVE
R133,B133,"Very enjoyable night. Arrived a full hour early and set up without any fuss. The sound balance could have been slightly better, but the talent speaks for itself.",4,2026-03-11,0.8825,0.9833,0.943,POSITIVE
R134,B134,Let down overall. Had to be asked repeatedly to adjust the volume to an acceptable level. The booking process was fine but the actual performance missed the mark.,2,2026-02-16,0.405,0.2339,0.3023,NEGATIVE
R135,B135,Very impressed overall. The acoustic set during dinner was the perfect touch of elegance. Communication beforehand was quick and clear. Performance delivered as promised.,4,2026-05-22,0.968,0.983,0.977,POSITIVE
R136,B136,Exceptional talent. Seamlessly transitioned between genres to keep all demographics happy. They had the whole room on their feet within minutes. Truly memorable.,5,2025-01-02,0.9328,0.9826,0.9626,POSITIVE
R137,B137,Outstanding! Arrived a full hour early and set up without any fuss. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2024-12-08,0.927,0.9826,0.9604,POSITIVE
R138,B138,Wow. Just wow. Arrived a full hour early and set up without any fuss. If I could give six stars I would. Guests are still talking about it.,5,2024-09-12,0.9112,0.9835,0.9546,POSITIVE
R139,B139,Best booking decision we ever made. The acoustic set during dinner was the perfect touch of elegance. Professionalism from start to finish. Five stars without hesitation.,5,2025-06-14,0.9578,0.983,0.9729,POSITIVE
R140,B140,Outstanding! Every single technical element was handled with care and expertise. The energy was infectious and everyone had an incredible time. Will definitely book again.,5,2025-02-17,0.9555,0.9823,0.9716,POSITIVE
R141,B141,Great experience. They stayed thirty minutes over schedule — for free — because the crowd demanded it. They were accommodating with our song requests and the vibe was spot on.,4,2024-12-20,0.879,0.9828,0.9413,POSITIVE
R142,B142,Really great performance overall. The acoustic set during dinner was the perfect touch of elegance. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2024-11-30,0.9466,0.9831,0.9685,POSITIVE
R143,B143,"Superb performance from start to finish. Perfectly punctual, impeccably presented, and artistically superb. The guests couldn't stop complimenting the entertainment.",5,2025-07-01,0.9685,0.9825,0.9769,POSITIVE
R144,B144,"Fantastic night! The sound quality was absolutely crystal clear all night. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2024-09-26,0.9488,0.9827,0.9691,POSITIVE
R145,B145,Excellent entertainment! Arrived a full hour early and set up without any fuss. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-03-03,0.951,0.9831,0.9703,POSITIVE
R146,B146,"The acoustic set during dinner was the perfect touch of elegance. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2024-08-02,0.888,0.9823,0.9446,POSITIVE
R147,B147,"Okay performance for the price point. Some technical issues in the first half, though they rallied well after the break. Wouldn't rush to rebook but wouldn't discourage others either.",3,2025-10-26,0.806,0.5,0.6224,POSITIVE
R148,B148,Arrived a full hour early and set up without any fuss. We had very high expectations and they exceeded every single one. Absolutely brilliant.,5,2025-07-04,0.812,0.9835,0.9149,POSITIVE
R149,B149,Mixed feelings. Started really strongly then seemed to lose the room halfway through. They were a few minutes late arriving but made up for it with a decent set.,3,2026-02-23,0.4802,0.5,0.4921,NEUTRAL
R150,B150,Enjoyed the performance very much. Every single technical element was handled with care and expertise. Would rate 5 stars if setup time had been shorter. Still highly recommended.,4,2025-10-12,0.911,0.9831,0.9543,POSITIVE
R151,B151,"They interacted warmly with guests of all ages and backgrounds. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-02-15,0.8194,0.9837,0.918,POSITIVE
R152,B152,"Enjoyed the performance very much. Perfectly punctual, impeccably presented, and artistically superb. Would rate 5 stars if setup time had been shorter. Still highly recommended.",4,2025-11-10,0.9661,0.983,0.9762,POSITIVE
